andamentos,andamentos_aleatoriedade
Juntada de Aviso de Recebimento (AR),Juntada de Aviso de Recebimento (AR)
Arquivado Definitivamente,Arquivado Definitivamente
Transitado em Julgado,Transitado em Julgado
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Encaminhado edital/relação para publicação,Encaminhado edital/relação para publicação
Extinto o processo por desistência,Extinto o processo por desistência
Concluso para Despacho,Concluso para Despacho
Juntada de Petição,Juntada de Petição
Expedição de Carta,Expedição de Carta
Certidão emitida,Certidão emitida
Citação ou notificação da parte,Citação ou notificação da parte
Concluso para Despacho,Concluso para Despacho
Processo Redistribuído por Sorteio,Processo Redistribuído por Sorteio
Remessa dos Autos para fins de Redistribuição,Remessa dos Autos para fins de Redistribuição
Certidão emitida,Certidão emitida
Declarada incompetência,Declarada incompetência
Concluso para Despacho,Concluso para Despacho
Reativado processo recebido de outro Foro,Reativado processo recebido de outro Foro
Processo Redistribuído por Sorteio,Processo Redistribuído por Sorteio
Remetido os autos a outro Foro,Remetido os autos a outro Foro
Certidão emitida,Certidão emitida
Certidão emitida,Certidão emitida
Juntada de documento,Juntada de documento
Mandado devolvido,Mandado devolvido
Expedição de Mandado,Expedição de Mandado
Expedição de Ofício,Expedição de Ofício
Declarada incompetência,Declarada incompetência
Concluso para Decisão Interlocutória,Concluso para Decisão Interlocutória
Proferido despacho de mero expediente,Proferido despacho de mero expediente
Conclusos,Conclusos
Processo Distribuído por Sorteio,Processo Distribuído por Sorteio
Juntada de documento,Juntada de documento
Juntada de Petição,Juntada de Petição
Expedição de Certidão de Arquivamento,Expedição de Certidão de Arquivamento
Arquivado Definitivamente,Arquivado Definitivamente
Expedição de Alvará,Expedição de Alvará
Certidão emitida,Certidão emitida
Transitado em Julgado,Transitado em Julgado
Juntada de Petição,Juntada de Petição
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Encaminhado edital/relação para publicação,Encaminhado edital/relação para publicação
Certidão emitida,Certidão emitida
Julgado procedente o pedido,Julgado procedente o pedido
Concluso para Sentença,Concluso para Sentença
Concluso para Despacho,Concluso para Despacho
Juntada de Petição,Juntada de Petição
Certidão emitida,Certidão emitida
Proferido despacho de mero expediente,Proferido despacho de mero expediente
Certidão emitida,Certidão emitida
Concluso para Despacho,Concluso para Despacho
Juntada de Ofício,Juntada de Ofício
Certidão emitida,Certidão emitida
Certidão emitida,Certidão emitida
Juntada de Aviso de Recebimento (AR),Juntada de Aviso de Recebimento (AR)
Certidão emitida,Certidão emitida
Expedição de Ofício,Expedição de Ofício
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Encaminhado edital/relação para publicação,Encaminhado edital/relação para publicação
Proferido despacho de mero expediente,Proferido despacho de mero expediente
Concluso para Despacho,Concluso para Despacho
Juntada de Parecer do Ministério Público,Juntada de Parecer do Ministério Público
Certidão emitida,Certidão emitida
Proferido despacho de mero expediente,Proferido despacho de mero expediente
Concluso para Despacho,Concluso para Despacho
Juntada de Petição,Juntada de Petição
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Encaminhado edital/relação para publicação,Encaminhado edital/relação para publicação
Proferido despacho de mero expediente,Proferido despacho de mero expediente
Conclusos,Conclusos
Decorrido prazo,Decorrido prazo
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Encaminhado edital/relação para publicação,Encaminhado edital/relação para publicação
Proferido despacho de mero expediente,Proferido despacho de mero expediente
Concluso para Despacho,Concluso para Despacho
Juntada de Parecer do Ministério Público,Juntada de Parecer do Ministério Público
Certidão emitida,Certidão emitida
Certidão emitida,Certidão emitida
Proferido despacho de mero expediente,Proferido despacho de mero expediente
Concluso para Sentença,Concluso para Sentença
Juntada de Petição,Juntada de Petição
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Encaminhado edital/relação para publicação,Encaminhado edital/relação para publicação
Expedição de Ato Ordinatório,Expedição de Ato Ordinatório
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Concluso para Sentença,Concluso para Sentença
Juntada de Petição,Juntada de Petição
Encaminhado edital/relação para publicação,Encaminhado edital/relação para publicação
Proferido despacho de mero expediente,Proferido despacho de mero expediente
Decorrido prazo,Decorrido prazo
Concluso para Despacho,Concluso para Despacho
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Encaminhado edital/relação para publicação,Encaminhado edital/relação para publicação
Proferido despacho de mero expediente,Proferido despacho de mero expediente
Concluso para Despacho,Concluso para Despacho
Decorrido prazo,Decorrido prazo
Juntada de documento,Juntada de documento
Expedição de Certidão de Intimação Pessoal para a Procuradoria,Expedição de Certidão de Intimação Pessoal para a Procuradoria
Juntada de Petição,Juntada de Petição
Juntada de Aviso de Recebimento (AR),Juntada de Aviso de Recebimento (AR)
Certidão emitida,Certidão emitida
Expedição de Ofício,Expedição de Ofício
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Encaminhado edital/relação para publicação,Encaminhado edital/relação para publicação
Proferido despacho de mero expediente,Proferido despacho de mero expediente
Concluso para Despacho,Concluso para Despacho
Juntada de Petição,Juntada de Petição
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Encaminhado edital/relação para publicação,Encaminhado edital/relação para publicação
Proferido despacho de mero expediente,Proferido despacho de mero expediente
Concluso para Despacho,Concluso para Despacho
Juntada de Ofício,Juntada de Ofício
Juntada de Aviso de Recebimento (AR),Juntada de Aviso de Recebimento (AR)
Expedição de Ato Ordinatório,Expedição de Ato Ordinatório
Expedição de Ofício,Expedição de Ofício
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Encaminhado edital/relação para publicação,Encaminhado edital/relação para publicação
Proferido despacho de mero expediente,Proferido despacho de mero expediente
Concluso para Despacho,Concluso para Despacho
Juntada de Petição,Juntada de Petição
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Encaminhado edital/relação para publicação,Encaminhado edital/relação para publicação
Despacho determinado a emenda da inicial,Despacho determinado a emenda da inicial
Conclusos,Conclusos
Processo Distribuído por Sorteio,Processo Distribuído por Sorteio
Juntada de documento,Juntada de documento
Juntada de documento,Juntada de documento
Juntada de documento,Juntada de documento
Juntada de Petição,Juntada de Petição
Concluso para Despacho,Concluso para Despacho
Decorrido prazo,Decorrido prazo
Juntada de Petição,Juntada de Petição
Concluso para Despacho,Concluso para Despacho
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Encaminhado edital/relação para publicação,Encaminhado edital/relação para publicação
Ato Ordinatório - Intimação dos Advogados das Partes,Ato Ordinatório - Intimação dos Advogados das Partes
Proferido despacho de mero expediente,Proferido despacho de mero expediente
Recebidos os autos,Recebidos os autos
Concluso para Despacho,Concluso para Despacho
Juntada de Petição,Juntada de Petição
Juntada de Petição,Juntada de Petição
Remessa dos autos à Vara de Origem,Remessa dos autos à Vara de Origem
Recebidos os Autos pela Unidade Judiciária,Recebidos os Autos pela Unidade Judiciária
Recebidos os Autos pelo Advogado,Recebidos os Autos pelo Advogado
Autos Entregues em Carga ao Advogado,Autos Entregues em Carga ao Advogado
Juntada de Petição,Juntada de Petição
Expedição de Termo,Expedição de Termo
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Encaminhado edital/relação para publicação,Encaminhado edital/relação para publicação
Expedição de Carta,Expedição de Carta
Audiência Designada,Audiência Designada
Audiência Designada,Audiência Designada
Proferido despacho de mero expediente,Proferido despacho de mero expediente
Concluso para Despacho,Concluso para Despacho
Recebidos os autos,Recebidos os autos
Remetidos os Autos,Remetidos os Autos
Processo Distribuído por Sorteio,Processo Distribuído por Sorteio
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Concluso para Sentença,Concluso para Sentença
Convertido(a) o(a) Julgamento em Diligência,Convertido(a) o(a) Julgamento em Diligência
Certidão emitida,Certidão emitida
Juntada de Aviso de Recebimento (AR),Juntada de Aviso de Recebimento (AR)
Certidão emitida,Certidão emitida
Juntada de Aviso de Recebimento (AR),Juntada de Aviso de Recebimento (AR)
Concluso para Sentença,Concluso para Sentença
Juntada de Petição,Juntada de Petição
Juntada de Petição,Juntada de Petição
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Expedição de Termo de Audiência,Expedição de Termo de Audiência
Juntada de Petição,Juntada de Petição
Encaminhado edital/relação para publicação,Encaminhado edital/relação para publicação
Certidão emitida,Certidão emitida
Expedição de Ato Ordinatório,Expedição de Ato Ordinatório
Certidão emitida,Certidão emitida
Juntada de documento,Juntada de documento
Juntada de documento,Juntada de documento
Proferido despacho de mero expediente,Proferido despacho de mero expediente
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Concluso para Despacho,Concluso para Despacho
Juntada de Petição,Juntada de Petição
Expedição de Carta,Expedição de Carta
Expedição de Carta,Expedição de Carta
Expedição de Mandado,Expedição de Mandado
Certidão emitida,Certidão emitida
Certidão emitida,Certidão emitida
Encaminhado edital/relação para publicação,Encaminhado edital/relação para publicação
Expedição de Termo de Audiência,Expedição de Termo de Audiência
Audiência Designada,Audiência Designada
Juntada de Parecer do Ministério Público,Juntada de Parecer do Ministério Público
Certidão emitida,Certidão emitida
Certidão emitida,Certidão emitida
Proferido despacho de mero expediente,Proferido despacho de mero expediente
Certidão emitida,Certidão emitida
Certidão emitida,Certidão emitida
Concluso para Despacho,Concluso para Despacho
Certidão emitida,Certidão emitida
Proferido despacho de mero expediente,Proferido despacho de mero expediente
Concluso para Despacho,Concluso para Despacho
Juntada de Petição,Juntada de Petição
Certidão emitida,Certidão emitida
Expedição de Carta,Expedição de Carta
Expedição de Carta,Expedição de Carta
Certidão emitida,Certidão emitida
Certidão emitida,Certidão emitida
Decisão Proferida,Decisão Proferida
Audiência Designada,Audiência Designada
Conclusos,Conclusos
Concluso para Despacho,Concluso para Despacho
Juntada de Petição,Juntada de Petição
Certidão emitida,Certidão emitida
Proferido despacho de mero expediente,Proferido despacho de mero expediente
Concluso para Despacho,Concluso para Despacho
Juntada de Petição,Juntada de Petição
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Encaminhado edital/relação para publicação,Encaminhado edital/relação para publicação
Expedição de Ato Ordinatório,Expedição de Ato Ordinatório
Encaminhado edital/relação para publicação,Encaminhado edital/relação para publicação
Proferido despacho de mero expediente,Proferido despacho de mero expediente
Concluso para Despacho,Concluso para Despacho
Processo Redistribuído por Sorteio,Processo Redistribuído por Sorteio
