andamentos_certos,andamentos_errados
Juntada de Aviso de Recebimento (AR),Distribuído por sorteio
Arquivado Definitivamente,Conclusos para despacho
Transitado em Julgado,Proferido despacho de mero expediente
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de documento de comprovação
Encaminhado edital/relação para publicação,Expedição de Carta precatória.
Extinto o processo por desistência,Juntada de Petição de petição
Concluso para Despacho,Juntada de Petição de petição
Juntada de Petição,Juntada de Petição de petição
Expedição de Carta,Juntada de Petição de petição
Certidão emitida,Juntada de documento de comprovação
Citação ou notificação da parte,Juntada de certidão
Concluso para Despacho,Conclusos para despacho
Processo Redistribuído por Sorteio,Proferido despacho de mero expediente
Remessa dos Autos para fins de Redistribuição,Expedição de Outros documentos.
Certidão emitida,Audiência conciliação designada para   06/03/2018 08:30 2ª Unidade do Juizado Especial Cível e Criminal de Juazeiro do Norte.
Declarada incompetência,Expedição de Aviso de recebimento (AR).
Concluso para Despacho,Expedição de Outros documentos.
Reativado processo recebido de outro Foro,Audiência conciliação realizada para   06/03/2018 08:30 2ª Unidade do Juizado Especial Cível e Criminal de Juazeiro do Norte.
Processo Redistribuído por Sorteio,Conclusos para despacho
Remetido os autos a outro Foro,Proferido despacho de mero expediente
Certidão emitida,Juntada de documento de comprovação
Certidão emitida,Juntada de Petição de petição
Juntada de documento,Expedição de Outros documentos.
Mandado devolvido,Expedição de Outros documentos.
Expedição de Mandado,Conclusos para despacho
Expedição de Ofício,Conclusos para despacho
Declarada incompetência,Proferido despacho de mero expediente
Concluso para Decisão Interlocutória,Audiência conciliação designada para   10/07/2018 09:00 2ª Unidade do Juizado Especial Cível e Criminal de Juazeiro do Norte.
Proferido despacho de mero expediente,Juntada de documento de comprovação
Conclusos,Expedição de Carta precatória.
Processo Distribuído por Sorteio,Expedição de Outros documentos.
Juntada de documento,Juntada de Petição de petição
Juntada de Petição,Juntada de Petição de petição
Expedição de Certidão de Arquivamento,Audiência conciliação realizada para   10/07/2018 09:00 2ª Unidade do Juizado Especial Cível e Criminal de Juazeiro do Norte.
Arquivado Definitivamente,Conclusos para despacho
Expedição de Alvará,Juntada de documento de comprovação
Certidão emitida,Juntada de Petição de documento de comprovação
Transitado em Julgado,Juntada de Petição de petição
Juntada de Petição,Conclusos para julgamento
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Homologada a Transação
Encaminhado edital/relação para publicação,Juntada de certidão
Certidão emitida,Arquivado Definitivamente
Julgado procedente o pedido,Juntada de Petição de petição
Concluso para Sentença,Conclusos para decisão
Concluso para Despacho,Proferido despacho de mero expediente
Juntada de Petição,Processo Reativado
Certidão emitida,Juntada de certidão
Proferido despacho de mero expediente,Juntada de Petição de certidão
Certidão emitida,Juntada de certidão
Concluso para Despacho,Expedição de Carta precatória.
Juntada de Ofício,Proferido despacho de mero expediente
Certidão emitida,Juntada de certidão
Certidão emitida,Expedição de Carta precatória.
Juntada de Aviso de Recebimento (AR),Juntada de Petição de petição
Certidão emitida,Conclusos para despacho
Expedição de Ofício,Proferido despacho de mero expediente
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Proferido despacho de mero expediente
Encaminhado edital/relação para publicação,Expedição de Ofício.
Proferido despacho de mero expediente,Juntada de documento de comprovação
Concluso para Despacho,Juntada de documento de comprovação
Juntada de Parecer do Ministério Público,Expedição de Outros documentos.
Certidão emitida,Expedição de Outros documentos.
Proferido despacho de mero expediente,Juntada de Petição de petição
Concluso para Despacho,Decorrido prazo de ANTONIO GERVANIO DAVID BRITO MAGALHAES em 12/12/2019 23:59:59.
Juntada de Petição,Juntada de Petição de petição
